Label,Frame Index,Time Stamp,Confidence
bird,1831,61.03,0.60
bird,1832,61.07,0.61
bird,1833,61.10,0.61
bird,1834,61.13,0.40
bird,1835,61.17,0.49
bird,1836,61.20,0.40
bird,1837,61.23,0.67
bird,1838,61.27,0.61
bird,1839,61.30,0.71
bird,1840,61.33,0.71
bird,1841,61.37,0.68
bird,1842,61.40,0.70
bird,1843,61.43,0.64
bird,1844,61.47,0.62
bird,1845,61.50,0.61
bird,1846,61.53,0.59
bird,1847,61.57,0.68
bird,1848,61.60,0.69
bird,1849,61.63,0.62
bird,1850,61.67,0.52
bird,1851,61.70,0.68
bird,1852,61.73,0.62
bird,1853,61.77,0.57
bird,1854,61.80,0.76
bird,1855,61.83,0.46
bird,1856,61.87,0.57
bird,1857,61.90,0.68
bird,1858,61.93,0.63
bird,1859,61.97,0.51
bird,1860,62.00,0.67
bird,1861,62.03,0.72
bird,1862,62.07,0.56
bird,1863,62.10,0.30
bird,1867,62.23,0.51
bird,1868,62.27,0.42
bird,1869,62.30,0.25
bird,1870,62.33,0.34
bird,1871,62.37,0.43
bird,1872,62.40,0.57
bird,1873,62.43,0.60
bird,1874,62.47,0.46
bird,1875,62.50,0.44
bird,1876,62.53,0.38
bird,1877,62.57,0.36
bird,1878,62.60,0.38
bird,1879,62.63,0.41
bird,1880,62.67,0.38
bird,1881,62.70,0.38
bird,1882,62.73,0.36
bird,1883,62.77,0.33
bird,1884,62.80,0.31
bird,1885,62.83,0.41
bird,1886,62.87,0.40
bird,1887,62.90,0.46
bird,1888,62.93,0.37
bird,1889,62.97,0.31
bird,1890,63.00,0.31
bird,1891,63.03,0.39
bird,1892,63.07,0.41
bird,1893,63.10,0.45
bird,1894,63.13,0.32
bird,1895,63.17,0.43
bird,1896,63.20,0.57
bird,1897,63.23,0.68
bird,1898,63.27,0.62
bird,1899,63.30,0.53
bird,1900,63.33,0.57
bird,1901,63.37,0.53
bird,1902,63.40,0.54
bird,1903,63.43,0.59
bird,1904,63.47,0.54
bird,1905,63.50,0.64
bird,1906,63.53,0.62
bird,1907,63.57,0.63
bird,1908,63.60,0.64
bird,1909,63.63,0.57
bird,1910,63.67,0.51
bird,1911,63.70,0.49
bird,1912,63.73,0.46
